Date,Open,High,Low,Close,Adj Close,Volume
2019-07-19,226.089996,226.509995,214.009995,221.279999,221.279999,82409808
2019-07-20,221.279999,235.690002,220.330002,228.710007,228.710007,74318209
2019-07-21,228.710007,229.690002,217.429993,225.399994,225.399994,59548497
2019-07-22,225.399994,227.990005,211.880005,217.220001,217.220001,73718555
2019-07-23,217.220001,219.100006,208.550003,212.210007,212.210007,69993297
2019-07-24,212.210007,218.139999,201.320007,216.660004,216.660004,96519402
2019-07-25,216.660004,225.580002,215.729996,219.410004,219.410004,64183254
2019-07-26,219.410004,220.880005,212.990005,219.229996,219.229996,46712261
2019-07-27,219.229996,223.830002,202.839996,207.169998,207.169998,78126135
2019-07-28,207.169998,213.270004,197.960007,211.149994,211.149994,47846437
2019-07-29,211.149994,215.029999,206.429993,210.830002,210.830002,45830094
2019-07-30,210.830002,214.389999,204.580002,209.820007,209.820007,34387958
2019-07-31,209.820007,218.979996,209.729996,218.699997,218.699997,45601288
2019-08-01,218.699997,219.279999,211.039993,217.509995,217.509995,40239508
2019-08-02,217.509995,222.660004,214.990005,217.699997,217.699997,45725495
2019-08-03,217.699997,224.600006,216.250000,222.020004,222.020004,40674495
2019-08-04,222.020004,223.649994,217.500000,222.699997,222.699997,25241603
2019-08-05,222.699997,236.660004,222.699997,233.190002,233.190002,89350182
2019-08-06,233.190002,239.539993,222.669998,225.940002,225.940002,87568875
2019-08-07,225.940002,231.100006,220.800003,225.990005,225.990005,56477444
2019-08-08,225.990005,226.619995,215.179993,221.179993,221.179993,71719199
2019-08-09,221.179993,221.570007,207.029999,210.470001,210.470001,60745552
2019-08-10,210.470001,214.660004,200.919998,206.259995,206.259995,43695144
2019-08-11,206.259995,216.669998,205.949997,216.389999,216.389999,43633101
2019-08-12,216.389999,216.660004,209.880005,211.279999,211.279999,34348705
2019-08-13,211.279999,211.350006,203.380005,208.619995,208.619995,48703109
2019-08-14,208.619995,209.250000,182.820007,186.490005,186.490005,88474941
2019-08-15,186.490005,189.820007,173.669998,188.240005,188.240005,91912998
2019-08-16,188.240005,188.240005,178.619995,185.410004,185.410004,48178947
2019-08-17,185.410004,186.979996,182.119995,185.690002,185.690002,21707530
2019-08-18,185.690002,198.110001,183.490005,194.770004,194.770004,36135946
2019-08-19,194.770004,203.570007,193.130005,202.429993,202.429993,50663464
2019-08-20,202.429993,202.940002,194.889999,196.550003,196.550003,34717145
2019-08-21,196.550003,197.149994,180.300003,187.320007,187.320007,59587511
2019-08-22,187.320007,195.089996,182.869995,190.740005,190.740005,47325783
2019-08-23,190.740005,196.589996,188.720001,194.639999,194.639999,45062633
2019-08-24,194.639999,194.660004,186.449997,191.080002,191.080002,27303728
2019-08-25,191.080002,192.839996,183.160004,186.580002,186.580002,27576744
2019-08-26,186.580002,194.199997,185.889999,188.460007,188.460007,42356290
2019-08-27,188.460007,189.050003,184.740005,187.169998,187.169998,24444251
2019-08-28,187.169998,188.000000,166.360001,173.009995,173.009995,65052446
2019-08-29,173.009995,173.520004,164.190002,168.949997,168.949997,49164451
2019-08-30,168.949997,170.470001,165.949997,168.520004,168.520004,27682066
2019-08-31,168.520004,174.990005,166.289993,172.149994,172.149994,22016383
2019-09-01,172.149994,173.880005,168.240005,171.419998,171.419998,23040224
2019-09-02,171.419998,181.470001,170.770004,178.759995,178.759995,36381317
2019-09-03,178.759995,182.929993,174.830002,179.130005,179.130005,47159868
2019-09-04,179.130005,180.460007,174.059998,175.009995,175.009995,34201012
2019-09-05,175.009995,175.860001,170.070007,174.889999,174.889999,34796158
2019-09-06,174.380005,176.880005,173.490005,175.369995,175.369995,8487281
